,exp_id,article_id,user,time,page_id,sentence_id,word,need_prediction,sentence_understand,mind_wandering,total_dwell_time_of_sentence,saccade_times_of_sentence,forward_times_of_sentence,backward_times_of_sentence,horizontal_saccade_proportion,saccade_velocity,saccade_duration,total_dwell_time_of_sentence_div_syllable,saccade_times_of_sentence_div_syllable,forward_times_of_sentence_div_syllable,backward_times_of_sentence_div_syllable,horizontal_saccade_proportion_div_syllable,saccade_velocity_div_syllable,saccade_duration_div_syllable,total_dwell_time_of_sentence_div_log,saccade_times_of_sentence_div_log,forward_times_of_sentence_div_log,backward_times_of_sentence_div_log,horizontal_saccade_proportion_div_log,saccade_velocity_div_log,saccade_duration_div_log,length,sentence_sid
0,585,12,ys,0,1226,0,A judge in the US State of Arizona has ruled that a 1901 ban on nearly all abortions can now be reintroduced,0,1,1,9026,17,13,4,0.9411764705882352,-0.0151848538836835,-153180,334.2962962962963,0.6296296296296297,0.4814814814814814,0.1481481481481481,0.0348583877995642,-0.0005624019956919,-5673.333333333333,346.1140006890291,0.6518876591749939,0.4985023276044071,0.1533853315705868,0.0360906662519027,-0.0005822834619499,-5873.891272495622,87,1226-0
1,585,12,ys,0,1226,1,Only terminations to save the mother's life will be permitted,0,1,1,4369,6,4,2,1.0,1.306128887318655,2389,257.0,0.3529411764705882,0.2352941176470588,0.1176470588235294,0.0588235294117647,0.0768311110187444,140.52941176470588,295.369209848797,0.4056340716623443,0.2704227144415628,0.1352113572207814,0.0676056786103907,0.0883017297798122,161.50996620022343,52,1226-1
2,585,12,ys,0,1226,2,The Republican attorney general of Arizona said he applauded the court's decision,0,1,1,8016,15,11,4,0.8666666666666667,0.5479929524771611,3101,334.0,0.625,0.4583333333333333,0.1666666666666666,0.0361111111111111,0.0228330396865483,129.20833333333334,411.7899214787696,0.7705649728270388,0.5650809800731618,0.205483992753877,0.04452153176334,0.0281509449689981,159.30146538244315,70,1226-2
3,585,12,ys,0,1226,3,"It was made possible by the Supreme Court in Washington overturning the 1973 Roe v Wade ruling, which granted the right for all women in the United States to have access to abortion",0,1,1,10335,21,17,4,0.9523809523809524,0.7755572474176439,4350,229.66666666666663,0.4666666666666667,0.3777777777777777,0.0888888888888888,0.0211640211640211,0.0172346054981698,96.66666666666669,229.65093409299973,0.4666346991730038,0.3777518993305269,0.0888827998424769,0.0211625713910659,0.0172334248971511,96.66004482869364,149,1226-3
4,585,12,ys,0,1226,4,"A Colombian dissident group which rejected the 2016 peace deal with the country's largest guerrilla movement, the FARC, has said it is prepared to stop its attacks against government forces to help ceasefire talks",0,1,0,11238,25,18,7,0.92,0.5958231306301921,7990,234.125,0.5208333333333334,0.375,0.1458333333333333,0.0191666666666666,0.012412981888129,166.45833333333334,216.5113027995073,0.4816499884310093,0.3467879916703267,0.1348619967606826,0.0177247195742611,0.0114791281589983,153.93533630255058,180,1226-4
5,585,12,ys,0,1226,5,"The Colombian president Gustavo Petro, a former guerrilla fighter, took office last month, promising to fully implement the 2016 deal and reach a settlement with all armed groups",0,1,1,11125,18,15,3,0.9444444444444444,0.6291536112098446,6493,252.8409090909091,0.4090909090909091,0.3409090909090909,0.0681818181818181,0.0214646464646464,0.0142989457093146,147.5681818181818,257.99949826742136,0.4174373904551536,0.3478644920459614,0.0695728984091922,0.0219025791288197,0.0145906800921596,150.57894312362848,151,1226-5
6,585,12,ys,0,1226,6,"The world's longest ruling head of state, Present Teodoro Obiang of Equatorial Guinea, will run for office again in elections due to be held in November",0,0,1,11965,21,16,5,0.9047619047619048,0.8023494963521246,5515,341.85714285714283,0.6,0.4571428571428571,0.1428571428571428,0.0258503401360544,0.0229242713243464,157.57142857142858,316.55538578885097,0.5555924029724923,0.4233084975028513,0.132283905469641,0.0239370876564112,0.0212275849858117,145.90914773301407,127,1226-6
7,585,12,ys,0,1226,7,"His son, vice president Teodoro Nguema Obiang Mangue, said that his father had been nominated due to his charisma, leadership, and political experience",0,1,1,6699,14,12,2,0.8571428571428571,0.8538559093524605,3171,171.76923076923077,0.358974358974359,0.3076923076923077,0.0512820512820512,0.0219780219780219,0.0218937412654477,81.3076923076923,181.1873976995585,0.3786570484839257,0.3245631844147935,0.0540938640691322,0.0231830846010566,0.0230941827475686,85.76582148160918,129,1226-7
8,585,12,ys,0,1226,8,"And the former tennis men's world number one, Roger Federer has bade a tearful farewell to the sport",0,1,0,5769,13,10,3,0.9230769230769232,0.9965415074317742,2327,240.375,0.5416666666666666,0.4166666666666667,0.125,0.0384615384615384,0.0415225628096572,96.95833333333331,224.96072000979007,0.5069317663593814,0.3899475125841395,0.1169842537752418,0.0359951550077667,0.0388598882009869,90.74078617832927,83,1226-8
9,585,12,ys,0,1226,9,The Swiss player joined forces with his former rival Rafael Nadal for a doubles match in the Laver Cup in London,0,1,1,5036,11,10,1,0.9090909090909092,0.7428176545208042,2676,193.69230769230768,0.4230769230769231,0.3846153846153846,0.0384615384615384,0.0349650349650349,0.0285699097892617,102.92307692307692,173.59946080195388,0.3791886554450938,0.3447169594955399,0.0344716959495539,0.0313379054086854,0.025606184332602,92.24625836100648,92,1226-9
